Ainit T val
3 762 0
5 762 0
7 762 0
9 762 0
11 762 0
13 762 0
15 762 0
17 762 0
19 762 0
21 762 0
23 762 0
25 762 0
27 762 0
29 762 0
31 762 0
33 762 0
35 762 0
37 762 0
39 762 0
41 762 0
43 762 0
45 762 1
47 762 0
49 762 1
