Ainit T val
42 631 1.75
44 631 1.75
46 631 1.80742
48 631 1.56287
50 631 1.76256
0 661 0
2 661 0
4 661 0
6 661 0
8 661 0
10 661 0
12 661 1
14 661 0
16 661 0
18 661 1.51465
20 661 1.75
22 661 0
24 661 1.52734
26 661 1.75
28 661 1.43326
30 661 1.38529
32 661 1.33888
34 661 1.50907
36 661 1.35288
38 661 1.75391
40 661 1.75
42 661 1.60508
44 661 1.37305
46 661 1.61319
48 661 1.54102
50 661 1.35484
0 691 0
2 691 0
4 691 0
6 691 0
8 691 0
10 691 0
12 691 1.69045
14 691 1.72414
16 691 1.30556
18 691 1.74778
20 691 1.66667
22 691 1.25
24 691 1.5
26 691 1.27832
28 691 1.27637
30 691 1.30333
32 691 0
34 691 1.75
36 691 1.2998
38 691 1.25
40 691 1.75293
42 691 1.2
44 691 1.29447
46 691 1.39062
48 691 1.35156
50 691 1.38379
0 721 0
2 721 0
4 721 0
6 721 0
8 721 0
10 721 0
12 721 0
14 721 1.25
16 721 0
18 721 1.33333
20 721 1.33333
22 721 0
24 721 1.5
26 721 1.28125
28 721 0
30 721 1.75
32 721 1.75
34 721 1.29102
36 721 1.12329
38 721 1.25586
40 721 1.07324
42 721 1.34505
44 721 1.5
46 721 1.25
48 721 1.50293
50 721 1.26855
0 751 0
2 751 0
4 751 0
6 751 0
8 751 0
10 751 0
12 751 0
14 751 0
16 751 0
18 751 0
20 751 0
22 751 1.49606
24 751 1.66667
26 751 0
28 751 0
30 751 1.5
32 751 1.66667
34 751 0
36 751 1.5
38 751 1.25879
40 751 1.5
42 751 1.66667
44 751 1.5
46 751 1.5
48 751 1.75
50 751 1.02832
0 781 0
2 781 0
4 781 0
6 781 0
8 781 0
10 781 0
12 781 0
14 781 0
16 781 0
18 781 0
20 781 0
22 781 0
24 781 0
26 781 0
28 781 0
30 781 0
32 781 1.02474
34 781 1.33333
36 781 0
38 781 1
40 781 1.33464
42 781 1.75
44 781 0
46 781 1.33333
48 781 1.50684
50 781 1.01953
0 811 0
2 811 0
4 811 0
6 811 0
8 811 0
10 811 0
12 811 0
14 811 0
16 811 0
18 811 0
20 811 0
22 811 0
24 811 1.3015
26 811 0
28 811 0
30 811 0
32 811 1.58238
34 811 1
36 811 1.64787
38 811 0
40 811 1.488
42 811 1.74951
44 811 0
46 811 0
48 811 1.33333
50 811 1.50195
0 841 0
2 841 0
4 841 0
6 841 0
8 841 0
10 841 0
12 841 0
14 841 0
16 841 0
18 841 0
20 841 0
22 841 0
24 841 0
26 841 0
28 841 0
30 841 1.10175
32 841 0
34 841 0
36 841 0
38 841 1
40 841 1.26263
42 841 1.56089
44 841 1.44227
46 841 1.46218
48 841 1.21516
50 841 1.00391
0 871 0
2 871 0
4 871 0
6 871 0
8 871 0
10 871 0
12 871 0
14 871 0
16 871 0
18 871 0
20 871 0
22 871 0
24 871 0
26 871 0
28 871 0
30 871 0
32 871 0
34 871 1
36 871 1
38 871 1
40 871 0
42 871 0
44 871 1.07581
46 871 1.00391
48 871 1.11419
50 871 0
0 901 0
2 901 0
4 901 0
6 901 0
8 901 0
10 901 0
12 901 0
14 901 0
16 901 0
18 901 0
20 901 0
22 901 0
24 901 0
26 901 0
28 901 0
30 901 0
32 901 0
34 901 0
36 901 0
38 901 0
40 901 0
